"section","question","answer","section_short"
"INFO ANTES DEL FESTIVAL","He recibido mi pulsera en casa, ¿cómo funciona?, ¿qué tengo que hacer?","Si has recibido tu pulsera, sigue los pasos para vincular tu pulsera a tu entrada (MUY IMPORTANTE). ¡Ya están activas las recargas online! Pre- recarga la pulsera desde tu casa con tarjeta de crédito o débito y así evitar colas. También podrás recargar directamente en el recinto tanto en efectivo como con tarjeta.","antes"
"INFO ANTES DEL FESTIVAL","Tengo entrada de día ¿qué tengo que hacer?","Si tienes entrada de día tendrás que ir a recogerla los mismos días del festival a los diferentes puntos que tendremos habilitados en el recinto: podrás hacer tu recarga en diferentes puntos tanto en efectivo como con tarjeta","antes"
"INFO ANTES DEL FESTIVAL","¿Cómo será el pago en #WARMUP2026?","Este año el pago en el recinto de #WARMUP2026 volverá a ser sin contacto, seguro y 100% fiable. ¿Cómo? Si tienes abono general o VIP pagarás con el chip de tu pulsera. Si tienes entrada de día, pagarás con la tarjeta que te daremos al acceder al recinto. Podrás pagar con pulsera o tu tarjeta tanto en barras como en restauración. Esta pulsera o tarjeta será únicamente válida para pagar dentro del recinto de #WARMUP2026, no será válida para otras ediciones ni para otro evento.","antes"
"INFO ANTES DEL FESTIVAL","¿La pulsera tiene algún coste?, ¿y la recarga?","La pulsera y la gestión de la recarga es totalmente gratuita y no lleva asociado ningún gasto de gestión.","antes"
"INFO ANTES DEL FESTIVAL","¿Es un pago seguro?","¡Muchísimo! El pago a través de este sistema es muy seguro gracias a Caja Rural Central, se utiliza un cifrado de alta seguridad que es imposible de copiar la información y los datos.","antes"
"INFO ANTES DEL FESTIVAL","¿Podré recoger mi pulsera de abono antes de llegar a La Fica?","Este año todos los abonos se envían a casa. Si todavía no te ha llegado tu abono, no te preocupes, puedes consultar las condiciones de envío aquí. Recuerda que las entradas de día solo se pueden recoger el mismo día en el recinto.","antes"
"DURANTE EL FESTIVAL","¿Puedo pagar en efectivo, con tarjeta o con tokens en el recinto?","No, el único método de pago en el festival será a través de tu pulsera (en el caso de abonos) o tu tarjeta (en el caso de entradas de día): tanto para bebidas como para la zona de restauración. ¡Asegúrate de no perderla!","durante"
"DURANTE EL FESTIVAL","¿Cómo cargo mi pulsera en el recinto?","En el recinto podrás cargar tu pulsera cashless con pago en efectivo o con tarjeta bancaria todas las veces que quieras en los puntos habilitados para ello. Te recomendamos que, si no has pre-cargado tu pulsera desde casa, lo hagas una vez llegues al recinto, con un importe para consumir durante todo el festival. No te preocupes, podrás solicitar el reembolso de tu saldo no gastado una vez finalice el evento.","durante"
"DURANTE EL FESTIVAL","¿Hay importe mínimo de carga en el recinto?","La carga mínima en el recinto con tarjeta será de 5€ y siempre en múltiplos de 5€ (5€, 10€, 15€, 20€, etc….) Para las recargas en efectivo no habrá importe mínimo de recarga.","durante"
"DURANTE EL FESTIVAL","¿Qué pasa si me quedo sin saldo durante el festival?","No te preocupes, podrás recargar tu pulsera tantas veces como quieras en cualquiera de los puntos de recarga del festival.","durante"
"DURANTE EL FESTIVAL","¿Puedo compartir mi pulsera?","Cada pulsera es intransferible y va asociada a una única persona. Las pulseras que, visiblemente, sean manipuladas, no se aceptarán como método de pago. Recuerda que tu pulsera es como tu entrada: si es sospechosa de manipulación tampoco podrás entrar en el recinto así que cuídala bien.","durante"
"DURANTE EL FESTIVAL","¿Y si se rompe o me aprieta? ¿Se puede mojar?","¡No te la cortes! Acércate al punto de atención al cliente y te solucionarán la incidencia enseguida. Y claro que puedes mojarla, ¡no pasa nada!","durante"
"DURANTE EL FESTIVAL","¿Y si quiero compartir el saldo con mis amigos?","¡Puedes hacerlo, no hay problema! Puedes utilizar el saldo de pulsera para compartir con tus amigxs si quieres o hacer un bote común. Pero recuerda que quién tenga el saldo en la pulsera es la persona que tendrá que ir a pedir siempre. Por eso os recomendamos que tengáis todos recargada la pulsera para tener más libertad.","durante"
"DESPUÉS DEL FESTIVAL","¿Y si termina #WARMUP2026 y no he gastado todo el importe de mi pulsera o tarjeta?","No te preocupes, el importe que te sobre (siempre y cuando no sea de la promoción de lanzamiento*) se devolverá sin gastos de gestión. Podrás solicitar las devoluciones a través de tu cuenta de usuario en un plazo que inforamaremos próximamente. Asegúrate de no perder la tarjeta ni la pulsera porque vas a necesitar el código único que tendrá la pulsera y/o la tarjeta para poder gestionarla.","despues"
"DESPUÉS DEL FESTIVAL","¿Cuánto tardaré en recibir el reembolso en mi cuenta bancaria?","Una vez solicitado el reembolso, recibirás el saldo restante en tu cuenta bancaria en un máximo de un mes, dependiendo de tu entidad bancaria.","despues"
"DESPUÉS DEL FESTIVAL","Y si tienes más dudas…","Escríbenos a info@warmupfestival.es y te las solucionaremos. También en el recinto habrá un punto habilitado para cualquier info que necesites.","despues"
"DESPUÉS DEL FESTIVAL","Para incidencias con tu pulsera","Escríbenos a cashless@idasfest.es y te las solucionaremos. También en el recinto habrá un punto habilitado para cualquier info que necesites.","despues"
