[CATEGORY]: HORARIOS_FESTIVAL
[EVENT]: WARM UP Estrella de Levante 2026
[SOURCE_PAGE]: https://warmupfestival.es/horarios-3/

=== INFORMACIÓN GENERAL ===
Apertura de puertas: 17:30h
Escenarios: Estrella de Levante, ElPozo King Upp, Ballantine's, ESC

=== HORARIOS ===
Viernes 1 de mayo | Estrella de Levante | Ginebras | 19:15-20:15
Viernes 1 de mayo | Estrella de Levante | Guitarricadelafuente | 21:25-22:40
Viernes 1 de mayo | Estrella de Levante | James | 00:00-01:10
Viernes 1 de mayo | Estrella de Levante | Soulwax | 02:25-03:25
Viernes 1 de mayo | ElPozo King Upp | Veintiuno | 18:10-19:10
Viernes 1 de mayo | ElPozo King Upp | Sanguijuelas del Guadiana | 20:20-21:20
Viernes 1 de mayo | ElPozo King Upp | León Benavente | 22:50-23:50
Viernes 1 de mayo | ElPozo King Upp | Ultraligera | 01:20-02:20
Viernes 1 de mayo | ElPozo King Upp | Ladilla Rusa | 03:30-04:30
Viernes 1 de mayo | Ballantine's | Perdón | 17:45-18:30
Viernes 1 de mayo | Ballantine's | Amore | 19:35-20:35
Viernes 1 de mayo | Ballantine's | Biznaga | 21:25-22:25
Viernes 1 de mayo | Ballantine's | Midnight Generation | 23:10-00:10
Viernes 1 de mayo | Ballantine's | Akrila | 00:55-01:55
Viernes 1 de mayo | Ballantine's | VVV (Trippin You) | 02:40-03:40
Viernes 1 de mayo | Ballantine's | Neoverbeneo | 04:30-06:00
Viernes 1 de mayo | ESC | Blackpanda (live) | 18:00-19:00
Viernes 1 de mayo | ESC | Rem Djs | 19:00-20:30
Viernes 1 de mayo | ESC | 1111 (live) | 20:30-21:30
Viernes 1 de mayo | ESC | Juguete | 21:30-23:00
Viernes 1 de mayo | ESC | Drea | 23:00-00:30
Viernes 1 de mayo | ESC | Riria | 00:30-02:00
Viernes 1 de mayo | ESC | Ruptura | 02:00-03:30
Viernes 1 de mayo | ESC | Panasoma | 03:30-04:30
Viernes 1 de mayo | ESC | Bclip | 04:30-06:00
Sábado 2 de mayo | Estrella de Levante | La La Love You | 19:15-20:15
Sábado 2 de mayo | Estrella de Levante | Bloc Party | 21:30-22:40
Sábado 2 de mayo | Estrella de Levante | Lori Meyers | 00:00-01:15
Sábado 2 de mayo | Estrella de Levante | Fatboy Slim | 02:30-04:30
Sábado 2 de mayo | ElPozo King Upp | Repion | 18:10-19:10
Sábado 2 de mayo | ElPozo King Upp | Carlos Ares | 20:20-21:20
Sábado 2 de mayo | ElPozo King Upp | Ojete Calor | 22:50-23:55
Sábado 2 de mayo | ElPozo King Upp | Rusowsky | 01:20-02:20
Sábado 2 de mayo | Ballantine's | Firmado, Carlota | 17:45-18:30
Sábado 2 de mayo | Ballantine's | Las Petunias | 19:35-20:35
Sábado 2 de mayo | Ballantine's | La Paloma | 21:25-22:25
Sábado 2 de mayo | Ballantine's | Deadletter | 23:10-00:10
Sábado 2 de mayo | Ballantine's | Viva Belgrado | 00:55-01:55
Sábado 2 de mayo | Ballantine's | Karavana | 02:40-03:40
Sábado 2 de mayo | Ballantine's | Flash Stereo Club Djs | 04:30-06:00
Sábado 2 de mayo | ESC | Hadren (live) | 18:00-19:00
Sábado 2 de mayo | ESC | PatataOnStereo | 19:00-20:30
Sábado 2 de mayo | ESC | Fades (live) | 20:30-21:30
Sábado 2 de mayo | ESC | Meritxell de Soto | 21:30-22:30
Sábado 2 de mayo | ESC | Flaca | 22:30-00:00
Sábado 2 de mayo | ESC | Pogo Djs | 00:00-01:30
Sábado 2 de mayo | ESC | Piem | 01:30-03:00
Sábado 2 de mayo | ESC | Fukcnormal | 03:00-04:30
Sábado 2 de mayo | ESC | Cora Novoa | 04:30-06:00
