id,fecha,categoria,decision,confianza,score_valor,score_politica,titulo,autor,url
77,2023-05-05,logistica,REVISAR,0.65,19,3,Los vecinos denuncian el estado de suciedad de La Fica cinco días después del Warm Up,Pedro Navarro,https://www.laverdad.es/murcia/ciudad-murcia/vecinos-denuncian-estado-suciedad-fica-cinco-dias-20230505141744-nt.html
59,2024-05-01,meteo,REVISAR,0.54,18,0,Cambio de tiempo en Murcia para el fin de semana del Warm Up: subida de temperaturas,Antonio Gil Ballesta,https://www.laverdad.es/murcia/ciudad-murcia/cambio-tiempo-murcia-fin-semana-warm-up-20240501103143-nt.html
10,2026-04-29,meteo,REVISAR,0.52,31,0,Previsión de lluvias para el puente de mayo en la Región de Murcia,Candela González Díaz,https://www.laverdad.es/murcia/tormentas-aparato-electrico-prevision-tiempo-warm-up-20260429121206-nt.html
0,2026-05-06,politica,EXCLUIR,0.6,10,15,Podcast: Continúa la crisis de Vox en la Región de Murcia y las necesidades del Warm Up para el futuro,María García Clemente,https://www.laverdad.es/podcast/continua-crisis-vox-region-murcia-necesidades-warm-20260506191337-aud.html
17,2025-12-18,artistas,INCLUIR,0.58,24,0,"Soulwax, Rusowsky, Biznaga, Karavana y La Paloma, entre las nuevas confirmaciones del Warm Up de Murcia",A.G.B.,https://www.laverdad.es/culturas/musica/soulwax-rusowsky-biznaga-karavana-paloma-nuevas-confirmaciones-20251218115543-nt.html
27,2025-05-03,artistas,INCLUIR,0.57,91,0,Consulta todos los conciertos de este sábado en el Warm Up y sus horarios,Alberto Frutos,https://www.laverdad.es/culturas/musica/consulta-conciertos-sabado-warm-up-horarios-20250502072752-nt.html
36,2025-04-07,artistas,INCLUIR,0.5,32,0,Cultura y Warm Up buscan una nueva banda para tocar en el festival,LV,https://www.laverdad.es/culturas/musica/cultura-warm-up-buscan-nueva-banda-tocar-20250408235042-nt.html
73,2023-11-02,artistas,INCLUIR,0.5,22,0,"Delaporte, La Paloma y Perro, entre las nuevas confirmaciones del Warm Up 2024",LA VERDAD,https://www.laverdad.es/culturas/musica/delaporte-paloma-perro-nuevas-confirmaciones-warm-up-20231102114748-nt.html
9,2026-04-30,artistas,INCLUIR,0.49,45,0,"Las Petunias aterrizan el sábado en el Warm Up: «El público murciano es el mejor, y no es broma»",Lía Guillén,https://www.laverdad.es/culturas/musica/golla-publico-murciano-mejor-broma-20260428175722-nt.html
33,2025-05-02,artistas,INCLUIR,0.48,90,0,Consulta todos los conciertos de este viernes en el Warm Up de Murcia y sus horarios,Alberto Frutos,https://www.laverdad.es/culturas/musica/consulta-conciertos-viernes-warm-up-murcia-horarios-20250502071553-nt.html
70,2023-12-21,artistas,INCLUIR,0.48,20,0,The Blaze encabeza las nuevas confirmaciones del Warm Up,LA VERDAD,https://www.laverdad.es/culturas/musica/the-blaze-encabeza-nuevas-confirmaciones-warm-up-20231221122428-nt.html
22,2025-05-03,artistas,INCLUIR,0.46,46,0,El Warm Up se rinde ante la evolución de Amaia,Alberto Frutos,https://www.laverdad.es/culturas/warm-up-cae-rendido-encanto-amaia-20250503234243-nt.html
25,2025-05-03,artistas,INCLUIR,0.44,72,0,Con muletas y a lo loco: Carolina Durante reinan en el Warm Up,Alberto Frutos,https://www.laverdad.es/culturas/musica/muletas-loco-carolina-reinan-warm-up-20250503072644-nt.html
69,2024-01-16,artistas,INCLUIR,0.44,16,0,"Editors, Judeline y María Escarmiento, entre las nuevas confirmaciones del Warm Up",LA VERDAD,https://www.laverdad.es/culturas/musica/editors-judeline-maria-escarmiento-nuevas-confirmaciones-warm-20240116134316-nt.html
72,2023-11-16,artistas,INCLUIR,0.44,17,0,"Bomba Estéreo, Cupido y Mujeres, entre las nuevas confirmaciones para el Warm Up 2024",Natalia Moreno,https://www.laverdad.es/culturas/musica/bomba-estereo-cupido-mujeres-nuevas-confirmaciones-warm-20231116120451-nt.html
2,2026-05-03,artistas,INCLUIR,0.43,55,0,Carlos Ares hechiza y eleva al Warm Up 2026,Alberto Frutos,https://www.laverdad.es/culturas/musica/carlos-ares-hechiza-eleva-warm-up-2026-20260503075102-nt.html
30,2025-05-02,artistas,INCLUIR,0.43,28,0,"Warm up, la banda sonora de la primavera",Natalia Benito,https://www.laverdad.es/culturas/musica/warm-up-banda-sonora-primavera-20250502203133-nt.html
68,2024-02-01,artistas,INCLUIR,0.43,36,1,Los Planetas se suman al Warm Up con un concierto íntegro de 'Super 8',Antonio Gil Ballesta,https://www.laverdad.es/culturas/musica/planetas-suma-warm-up-concierto-integro-super-20240201135647-nt.html
49,2024-05-03,artistas,INCLUIR,0.41,43,0,Expectativas cumplidas en el reencuentro con el Warm Up 2024,Alberto Frutos,https://www.laverdad.es/culturas/musica/expectativas-cumplidas-reencuentro-warm-up-2024-20240503220031-nt.html
65,2024-03-14,artistas,INCLUIR,0.41,34,0,"Johnny Marr, Black Lips, Sen Senra, Crystal Murray y Kiddy Smile se suman al cartel del Warm Up",LA VERDAD,https://www.laverdad.es/culturas/musica/johnny-marr-black-lips-sen-senra-crystal-20240314122447-nt.html
19,2025-09-01,artistas,INCLUIR,0.4,25,0,La primera preventa especial para el Warm Up 2026 ya tiene fecha,LA VERDAD,https://www.laverdad.es/murcia/primera-preventa-especial-warm-up-2026-fecha-20250901191435-nt.html
16,2026-01-29,artistas,INCLUIR,0.39,35,0,The Kooks lideran las nuevas confirmaciones del Warm Up de Murcia,LA VERDAD,https://www.laverdad.es/culturas/musica/the-kooks-lideran-nuevas-confirmaciones-warm-up-20260129125119-nt.html
39,2024-11-28,artistas,INCLUIR,0.39,23,0,"Mando Diao, Amaia y Alcalá Norte, entre las nuevas confirmaciones del Warm Up 2025",LA VERDAD,https://www.laverdad.es/culturas/musica/mando-diao-amaia-alcala-norte-nuevas-confirmaciones-20241128134423-nt.html
45,2024-05-04,artistas,INCLUIR,0.39,59,0,Viva Suecia sana su herida en el Warm Up con un concierto histórico,Alberto Frutos,https://www.laverdad.es/culturas/musica/viva-suecia-sana-herida-warm-up-concierto-20240504232621-nt.html
51,2024-05-03,artistas,INCLUIR,0.39,32,0,"El 'brilli brilli' ha muerto, pero no las ganas de Warm Up",Natalia Benito,https://www.laverdad.es/culturas/musica/brillibrilli-muerto-ganas-warm-up-20240503201550-nt.html
58,2024-05-02,artistas,INCLUIR,0.36,57,0,"La 'cara B' del Warm Up, en el centro de Murcia",Susana Fernández,https://www.laverdad.es/culturas/musica/cara-warm-up-centro-murcia-20240503201013-nt.html
71,2023-12-04,artistas,INCLUIR,0.36,22,0,"Arde Bogotá, nueva confirmación del Warm Up!",LA VERDAD,https://www.laverdad.es/culturas/musica/arde-bogota-ultima-confirmacion-warm-up-20231204174157-nt.html
