"name","type","zone","address","short_description","official_url","phone","email","festival_note"
"AC HOTEL MURCIA","CAMPING/ALBERGUE","Centro de Murcia","Juan Carlos I, 39 - 30009 - Murcia","El AC Hotel Murcia está ubicado a tan solo 2,5 km del centro de Murcia en la zona empresarial más importante de la ciudad estando conectado con el centro como con el resto de la periferia en tan solo unos minutos gracias a la nueva línea del tranvía. Es un hotel funcional y de diseño vanguardista.","http://www.espanol.marriott.com/hotels/travel/mjvmu-ac-hotel-murcia","+34 968 274 250","","en Murcia ciudad; cerca del centro; bien conectado; camping/albergue"
"HOTEL OCCIDENTAL MURCIA AGALIA","CAMPING/ALBERGUE","Centro de Murcia","Miguel Angel Beloqui 7 - 30006 - Murcia","Elegante y moderno establecimiento de 4 estrellas, con 126 habitaciones, 8 de ellas con terraza, 2 adaptadas y 2 suites. OCCIDENTAL MURCIA AGALIA está ubicado en una de las mejores zonas comerciales de la ciudad, a escasa distancia del centro de congresos y del palacio de deportes.","https://www.agaliahotel.es/","+34 968 397 000","","en Murcia ciudad; cerca del centro; camping/albergue"
"CATALONIA CONDE DE FLORIDABLANCA","CAMPING/ALBERGUE","Centro de Murcia","Calle Princesa, 18 - 30002 - Murcia","Ubicado en el centro de Murcia, a 5 minutos a pie de la Catedral sus 82 confortables habitaciones todas exteriores: estándar, superiores y Premium terrace, cuentan con todas las comodidades.","https://www.cataloniahotels.com/es/hotel/catalonia-conde-de-floridablanca?mb=1","+34 968 214 626","","en Murcia ciudad; cerca del centro; camping/albergue"
"HOTEL ALLEGRO MURCIA AZARBE","CAMPING/ALBERGUE","Centro de Murcia","Avda. del Rocío, 2 - 30007 - Murcia","El ALLEGRO MURCIA AZARBE cuenta con una inmejorable ubicación en el centro financiero y comercial de Murcia. Ideal para quien quiera conocer la ciudad o bien para viajes de negocios. Ponemos a tu disposición las mejores habitaciones, todas ellas con un estilo moderno y elegante para que puedas descansar y relajarte.","https://www.hotelazarbe.com/","+34 968 272 829","","en Murcia ciudad; cerca del centro; camping/albergue"
"HOTEL NELVA","CAMPING/ALBERGUE","Centro de Murcia","Avda. 1º de Mayo S/N - 30006 - Murcia","El Hotel Nelva se encuentra a solo 15 minutos a pie del centro histórico de Murcia y dispone de piscina y WiFi gratuita. Cuenta con modernas habitaciones, 12 salas para eventos y rodeado de jardines extensos que disfrutan de vistas magníficas a la ciudad.","https://www.hotelmurcianelva.com/","+34 968 060 200","","en Murcia ciudad; cerca del centro; camping/albergue"
"HOTEL TRYP MURCIA RINCÓN DE PEPE","CAMPING/ALBERGUE","Centro de Murcia","Plaza Apóstoles, 34 - 30001 - Murcia","El hotel Tryp Rincón de Pepe es un establecimiento de cuatro estrellas ubicado en el centro de Murcia, España, a un breve trayecto a pie de las atracciones turísticas, de excelentes tiendas y de numerosos restaurantes y bares.","https://www.melia.com/es/hoteles/espana/murcia/tryp-murcia-rincon-de-pepe/index.htm","+34 968 212 239","","en Murcia ciudad; cerca del centro; camping/albergue"
"NH AMISTAD","CAMPING/ALBERGUE","Centro de Murcia","Condestable, 1 - 30009 - Murcia","Moderno y funcional hotel de reciente construcción, situado en pleno centro de la Ciudad, junto a El Corte Inglés. Dispone de 148 habitaciones dotadas de toda clase de servicios y comodidades: Su restaurante ""Condestable"", especializado en cocina creativa e internacional, ofrece el mejor servicio y calidad.","https://www.nh-hoteles.es/hotel/nh-amistad-murcia","+34 968 282 929","","en Murcia ciudad; cerca del centro; camping/albergue"
"HOTEL BARCELÓ MURCIA SIETE CORONAS","CAMPING/ALBERGUE","Centro de Murcia","Paseo de Garay, 5 - 30003 – Murcia.","Ubicado en pleno centro de Murcia, junto al río, a 5 minutos de la Catedral, a 10 minutos del Auditorio y a 5 minutos de la estación de tren y autobuses. Sus 156 habitaciones son exteriores, amplias y están completamente equipadas, muchas de ellas con vistas al río o a la Catedral de Murcia.","https://www.barcelo.com/es-es/occidental-murcia-siete-coronas/","+34 968 217 771","","en Murcia ciudad; cerca del centro; bien conectado; camping/albergue"
"SERCOTEL JC1 HOTEL","CAMPING/ALBERGUE","Centro de Murcia","Avda. Juan Carlos I , 55 - 30009 - Murcia","Sercotel JC1 de marcado estilo moderno y fácil acceso desde las autovías de entrada a Murcia y con la parada de Tranvía a escasos metros del hotel, lo que permite llegar al centro en pocos minutos. Ubicado a escasos 3 Km. del Palacio de Congresos, en una de las zonas de mayor expansión empresarial de la ciudad.","https://www.hoteljc1murcia.com/","+34 968 858 844","","en Murcia ciudad; cerca del centro; bien conectado; camping/albergue"
"HESPERIA MURCIA CENTRO","CAMPING/ALBERGUE","Centro de Murcia","Calle Madre de Dios, 4 - 30004 - Murcia","Sus 120 habitaciones han sido recientemente renovadas para atender todas las necesidades. Distribuidas en seis plantas, destacan por sus diferentes tipologías que permiten acoger desde un único huésped, hasta cuatro, siendo la comodidad y el espacio una constante.","https://www.hesperia.com/es/es/hoteles/espana/murcia/hesperia-murcia-centro","+34 968 217 789","","en Murcia ciudad; cerca del centro; camping/albergue"
"HOTEL CETINA","CAMPING/ALBERGUE","Centro de Murcia","Calle Radio Murcia, 3 - 30001, Murcia.","Un remanso de paz y tranquilidad entre los dos monumentos más simbólicos y céntricos de la ciudad de Murcia; La Catedral y El Real Casino, así como del centro financiero y comercial de la ciudad. El renovado Hotel Cetina está inmerso en la viva historia de la ciudad, ya que fue inaugurado como hotel de renombre en el año 1975.","https://www.cetinahotels.com/cetina-murcia/","+34 968 100 800","","en Murcia ciudad; cerca del centro; camping/albergue"
"HOTEL EL CHURRA","CAMPING/ALBERGUE","Centro de Murcia","Marqués de los Vélez, 12 - 30008 - Murcia","Hotel céntrico, situado en el barrio de Vistalegre, junto a la Plaza Circular. Con acceso directo a la Universidad y a los Centros Comerciales a través del tranvía cuya parada se encuentra junto al hotel. Nuestro hotel dispone de 120 habitaciones, con habitaciones de distintas modalidades.","https://www.elchurra.net/","+34 968 238 400","","en Murcia ciudad; cerca del centro; bien conectado; camping/albergue"
